PartID,Vehicle,Category,Price,Name,Description
1,812 Superfast,Belt Drive,159.54,exPart1,Example Description for partexPart1
2,812 Superfast,Belt Drive,161.88,exPart2,Example Description for partexPart2
3,812 Superfast,Belt Drive,190.5,exPart3,Example Description for partexPart3
4,812 Superfast,Belt Drive,42.56,exPart4,Example Description for partexPart4
5,812 Superfast,Belt Drive,209.32,exPart5,Example Description for partexPart5
6,812 Superfast,Belt Drive,245.78,exPart6,Example Description for partexPart6
7,812 Superfast,Body & Lamp Assembly,34.98,exPart7,Example Description for partexPart7
8,812 Superfast,Body & Lamp Assembly,85.24,exPart8,Example Description for partexPart8
9,812 Superfast,Body & Lamp Assembly,9.04,exPart9,Example Description for partexPart9
10,812 Superfast,Body & Lamp Assembly,68.36,exPart10,Example Description for partexPart10
11,812 Superfast,Body & Lamp Assembly,174.19,exPart11,Example Description for partexPart11
12,812 Superfast,Body & Lamp Assembly,129.11,exPart12,Example Description for partexPart12
13,812 Superfast,Body & Lamp Assembly,227.47,exPart13,Example Description for partexPart13
14,812 Superfast,Brake & Wheel Hub,101.93,exPart14,Example Description for partexPart14
15,812 Superfast,Brake & Wheel Hub,122.87,exPart15,Example Description for partexPart15
16,812 Superfast,Brake & Wheel Hub,147.14,exPart16,Example Description for partexPart16
17,812 Superfast,Brake & Wheel Hub,205.11,exPart17,Example Description for partexPart17
18,812 Superfast,Brake & Wheel Hub,137.3,exPart18,Example Description for partexPart18
19,812 Superfast,Cooling System,55.72,exPart19,Example Description for partexPart19
20,812 Superfast,Cooling System,105.6,exPart20,Example Description for partexPart20
21,812 Superfast,Cooling System,152.89,exPart21,Example Description for partexPart21
22,812 Superfast,Cooling System,111.09,exPart22,Example Description for partexPart22
23,812 Superfast,Cooling System,79.95,exPart23,Example Description for partexPart23
24,812 Superfast,Cooling System,69.21,exPart24,Example Description for partexPart24
25,812 Superfast,Drivetrain,126.03,exPart25,Example Description for partexPart25
26,812 Superfast,Drivetrain,181.5,exPart26,Example Description for partexPart26
27,812 Superfast,Drivetrain,144.06,exPart27,Example Description for partexPart27
28,812 Superfast,Electrical,203.8,exPart28,Example Description for partexPart28
29,812 Superfast,Electrical,175.13,exPart29,Example Description for partexPart29
30,812 Superfast,Electrical,17.82,exPart30,Example Description for partexPart30
31,812 Superfast,Electrical,33.08,exPart31,Example Description for partexPart31
32,812 Superfast,Electrical,24.06,exPart32,Example Description for partexPart32
33,812 Superfast,Engine,71.83,exPart33,Example Description for partexPart33
34,812 Superfast,Engine,163.91,exPart34,Example Description for partexPart34
35,812 Superfast,Engine,96.0,exPart35,Example Description for partexPart35
36,812 Superfast,Engine,179.56,exPart36,Example Description for partexPart36
37,812 Superfast,Exhaust & Emission,238.1,exPart37,Example Description for partexPart37
38,812 Superfast,Exhaust & Emission,82.47,exPart38,Example Description for partexPart38
39,812 Superfast,Exhaust & Emission,28.54,exPart39,Example Description for partexPart39
40,812 Superfast,Exhaust & Emission,94.9,exPart40,Example Description for partexPart40
41,812 Superfast,Exhaust & Emission,120.18,exPart41,Example Description for partexPart41
42,812 Superfast,Exhaust & Emission,217.62,exPart42,Example Description for partexPart42
43,812 Superfast,Exhaust & Emission,12.57,exPart43,Example Description for partexPart43
44,812 Superfast,Fuel & Air,115.34,exPart44,Example Description for partexPart44
45,812 Superfast,Fuel & Air,242.66,exPart45,Example Description for partexPart45
46,812 Superfast,Fuel & Air,32.86,exPart46,Example Description for partexPart46
47,812 Superfast,HVAC,88.51,exPart47,Example Description for partexPart47
48,812 Superfast,HVAC,36.61,exPart48,Example Description for partexPart48
49,812 Superfast,HVAC,174.25,exPart49,Example Description for partexPart49
50,812 Superfast,Steering,37.12,exPart50,Example Description for partexPart50
51,812 Superfast,Steering,45.19,exPart51,Example Description for partexPart51
52,812 Superfast,Steering,140.34,exPart52,Example Description for partexPart52
53,812 Superfast,Steering,96.06,exPart53,Example Description for partexPart53
54,812 Superfast,Suspension,8.87,exPart54,Example Description for partexPart54
55,812 Superfast,Suspension,234.88,exPart55,Example Description for partexPart55
